INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12554151, 'Paulina', 'Campelo', 'Braga    Póvoa de Lanhoso (N. S. do Amparo)    Taíde    1 569     734', 'Pescador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (93121393, 'Etelvina', 'Bouça', 'Vila Real    Vila Pouca de Aguiar    Lixa do Alvão    (*)     (*)', 'Farmacêutico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (92336147, 'Roberto', 'Horta', 'Guarda    Guarda    Gagos    134    839', 'Advogado');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12188117, 'Flaviano', 'Caetano', 'Viseu    Lamego    Cambres    2 678     1 116', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (33213283, 'Walter', 'Baía', 'Viana do castelo    Ponte de Lima    Correlhã    3 068     804', 'Babysitter');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (26272276, 'Shirley', 'César', 'Bragança    Mirandela    Alvites    282    1 781', 'Operador logístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (42125122, 'Olï¿½mpia', 'Damasceno', 'Braga    Braga    Palmeira    4 594     872', 'Empreendedor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (83294763, 'Samuel', 'Cordeiro', 'Madeira    Porto Moniz    Seixal    716    2 950', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17189315, 'Clodoaldo', 'Caiado', 'Porto    Lousada    Sousela    1 854     708', 'Designer gráfico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21622182, 'Dorotï¿½ia', 'Piteira', 'Coimbra    Figueira da Foz    S. Julião da Figueira da Foz    10 848     362', 'Engenheiro mecânico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (26211524, 'Alexandre', 'Pereira', 'Viseu    Castro Daire    Moledo    1 314     4 383', 'Engenheiro civil');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15818169, 'Salema', 'Marinho', 'Açores    Lajes do Pico    Lajes do Pico    1 780     5 283', 'Cabeleireiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11122765, 'Ivone', 'Guterres', 'Santarem    Coruche    S. José da Lamarosa    2 017     11 047', 'Agricultor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (44822321, 'Pamela', 'Botelho', 'Viseu    Sátão    Silvã de Cima    549    663', 'Juiz');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11664718, 'Lino', 'Milheirão', 'Viana do castelo    Caminha    Argela    435    1 160', 'Solicitador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32384238, 'Raquel', 'Rabelo', 'Açores    Calheta (Açores)    Ribeira Seca    1 105     5 318', 'Cientista de dados');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41581212, 'Olivier', 'Assis', 'Bragança    Carrazeda de Ansiães    Vilarinho da Castanheira    772    2 910', 'Guia turístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (45136118, 'Mateus', 'Carrasqueira', 'Viana do castelo    Ponte de Lima    Rebordões (Souto)    1 253     725', 'Babysitter');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41316384, 'Nï¿½dia', 'Vilhena', 'Viseu    S. João da Pesqueira    Ervedosa do Douro    1 424     3 971', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24311816, 'Julieta', 'Alcoforado', 'Braga    Braga    Tebosa    1 096     266', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (13128112, 'Geraldino', 'Graça', 'Viana do castelo    Monção    Badim    225    710', 'Educador social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17916248, 'Benedita', 'Tavares', 'Lisboa    Sintra    Sintra (S. Martinho)    5 907     2 428', 'Farmacêutico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (72585135, 'Muriel', 'Jácome', 'Viseu    S. Pedro do Sul    Valadares    1 007     2 042', 'Técnico de análises clínicas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31211118, 'Maurï¿½cio', 'Damascena', 'Faro    Castro Marim    Martim Longo    1 384     13 414', 'Explicador / tutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32151473, 'Anastï¿½cia', 'Couto', 'Braga    Barcelos    Lama    1 330     365', 'Operador logístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51333172, 'Carla', 'Pêssego', 'Beja    Aljustrel    Aljustrel    5 559     19 045', 'Videógrafo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (36121521, 'Nazï¿½rio', 'Marins', 'Faro    Tavira    Tavira (Sta. Maria)    6 672     13 509', 'Guia turístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21113142, 'Obede', 'Barra', 'Açores    Praia da Vitória    Fontinhas    1 541     1 709', 'Educador social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17711826, 'Isis', 'Covelhã', 'Aveiro    Águeda    Valongo do Vouga    5 006     3 961', 'Especialista em inteligência artificial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19692112, 'Carolina', 'Noite', 'Braga    Amares    Paredes Secas    156    189', 'Operador de máquinas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (19211114, 'Adelmiro', 'Cabreira', 'Coimbra    Cantanhede    Pocariça    1 163     1 229', 'Cientista de dados');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32689826, 'Estefï¿½nia', 'Brum', 'Bragança    Vinhais    Rebordelo    665    2 215', 'Ator');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22316297, 'Ema', 'Coelho', 'Aveiro    Anadia    Óis do Bairro    517    359', 'Polícia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (24111131, 'Fabï¿½ola', 'Queirós', 'Viana do castelo    Caminha    Âncora    1 058     576', 'Videógrafo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25188736, 'Celestina', 'Ferraço', 'Porto    Marco de Canaveses    Magrelos    982    325', 'Educador social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (41762516, 'Ladislau', 'Santarém', 'Porto    Gondomar    Sousela    1 854     708', 'Especialista em inteligência artificial');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15212111, 'Dï¿½bora', 'Vilas Boas', 'Viana do castelo    Ponte de Lima    Poiares    847    591', 'Polícia');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (38442232, 'Sheila', 'Mirandela', 'Coimbra    Tábua    Meda de Mouros    222    777', 'Influenciador digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (91432181, 'Daniela', 'Taveiros', 'Viana do castelo    Ponte da Barca    Grovelas    248    340', 'Operador de máquinas');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12355217, 'Capitolina', 'Infante', 'Aveiro    Arouca    Fermedo    1 504     1 505', 'Analista de dados');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (25683145, 'Misael', 'Martins', 'Porto    Santo Tirso    Burgães    2 244     506', 'Nutricionista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22111734, 'Janaï¿½na', 'Quinta', 'Açores    Vila Franca do Campo    Ribeira das Tainhas    782    991', 'DevOps engineer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (94184332, 'Nivalda', 'Vaz', 'Vila Real    Montalegre    Paradela    221    1 234', 'Auditor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (45112812, 'Leï¿½nidas', 'Valério', 'Évora    Estremoz    Estremoz (Sta. Maria)    6 033     6 302', 'Eletricista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14282155, 'Abraï¿½o', 'Sousa de Arronches', 'Guarda    Mêda    Rabaçal    348    1 358', 'Rececionista de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (35322116, 'Florï¿½ncia', 'Estrada', 'Coimbra    Penacova    Travanca do Mondego    537    1 023', 'Diretor de hotel');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (12832152, 'Bebiana', 'Leme', 'Santarem    Abrantes    Mouriscas    1 946     3 498', 'Comercial / vendedor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (74331121, 'Heidi', 'Rodríguez', 'Braga    Barcelos    Monte de Fralães    270    180', 'Educador social');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (34831125, 'Joviano', 'Almeida', 'Castelo Branco    Covilhã    Casegas    701    4 259', 'Soldador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (13125214, 'Normando', 'Bogado', 'Viseu    Viseu    Bodiosa    3 110     2 560', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (14123125, 'Melinda', 'Festas', 'Coimbra    Coimbra    Coimbra (S. Bartolomeu)    856    22', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (15329222, 'Raul', 'Curado', 'Porto    Felgueiras    Pombeiro de Ribavizela    2 142     461', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (75414544, 'Bernarda', 'Leça', 'Guarda    Celorico da Beira    Vila Boa do Mondego    150    1 096', 'Canalizador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (87193731, 'Isolina', 'Bouças', 'Viana do castelo    Monção    Mazedo    1 428     735', 'Veterinário');
