INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21216312, 'Rosï¿½rio', 'Mourinho', 'Castelo Branco    Sertã    Cernache do Bonjardim    3 283     7 206', 'Procurador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (21511437, 'Daniela', 'Milheirão', 'Lisboa    Alenquer    Cabanas de Torres    1 013     679', 'Dentista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (28167237, 'Patrï¿½cia', 'Albuquerque', 'Viseu    Penalva do Castelo    Vila Cova do Covelo    317    887', 'Tradutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (61624161, 'Marina', 'Castanheda', 'Guarda    Trancoso    Aldeia Nova    394    2 560', 'Pedreiro');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (31261229, 'Marisol', 'Grillo', 'Évora    Estremoz    Glória    616    7 287', 'Cozinheiro / chef');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (53121464, 'Moisï¿½s', 'Regalado', 'Leiria    Alcobaça    Alcobaça    4 987     338', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17336641, 'Xï¿½nia', 'Carvalho', 'Açores    Angra do Heroísmo    Cinco Ribeiras    684    1 138', 'Técnico administrativo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (72112141, 'Jussara', 'Godinho', 'Faro    Tavira    Cabanas de Tavira    1 070     631', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (96394624, 'Vinicios', 'Bragança', 'Vila Real    Mondim de Basto    Campanhó    350    1 306', 'Engenheiro químico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (81211137, 'Tatiana', 'Quintal', 'Porto    Maia    Folgosa    3 603     1 030', 'Especialista em marketing digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17693612, 'Madalena', 'Linhares', 'Beja    Odemira    Zambujeira do Mar    844    4 296', 'Influenciador digital');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11295117, 'Dinarte', 'Nogueira', 'Guarda    Guarda    Valhelhas    509    1 895', 'Maquinista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (61315515, 'Lucinda', 'Doutiz', 'Bragança    Mirandela    S. Salvador    295    1 423', 'Formador profissional');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (74311421, 'Odete', 'Godinho', 'Aveiro    Oliveira de Azemeis    Madail    884    260', 'Freelancer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (52156663, 'Silvano', 'Lóio', 'Viseu    Sernancelhe    Carregal    510    1 973', 'Web designer');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (23744212, 'Hï¿½lio', 'Cotrim', 'Castelo Branco    Idanha-a-Nova    Penha Garcia    928    12 857', 'Notário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (46424221, 'Mavilde', 'Quinteiro', 'Viana do castelo    Ponte de Lima    Estorãos    513    1 710', 'Gestor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (44172782, 'Aldara', 'Covinha', 'Castelo Branco    Penamacôr    Aldeia de João Pires    221    1 113', 'Engenheiro agrónomo');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (95332811, 'Miracema', 'Barra', 'Vila Real    Alijó    Pópulo    336    1 277', 'Gestor de projetos IT');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (52114314, 'Dï¿½nia', 'Teves', 'Porto    Gondomar    Alvarenga    439    191', 'Explicador / tutor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (35162354, 'Clarissa', 'Almada', 'Bragança    Bragança    Rio de Onor    126    4 537', 'Engenheiro eletrotécnico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (29417366, 'Sofia', 'Cerqueira', 'Évora    Montemor-o-Novo    Lavre    887    11 640', 'Especialista em cibersegurança');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (52374885, 'Nataniel', 'Arruda', 'Guarda    Celorico da Beira    Linhares    328    1 547', 'Engenheiro químico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (17151731, 'Libï¿½nia', 'Soeiro', 'Bragança    Vinhais    Pinheiro Novo    127    3 292', 'Dentista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (11815172, 'Ezequias', 'Vilaverde', 'Viseu    Penalva do Castelo    Castelo de Penalva    1 070     2 735', 'Guia turístico');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (51944212, 'Adosindo', 'Zagalo', 'Braga    Vila Nova de Famalicão    Sezures    619    226', 'Militar');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (65312211, 'Blenda', 'Moura', 'Braga    Guimarães    Prazins (Santo Tirso)    824    266', 'Solicitador');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (88345441, 'Nisa', 'Pestana', 'Bragança    Mirandela    Aguieiras    375    1 468', 'Professor');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (22223219, 'Neide', 'Parente', 'Castelo Branco    Covilhã    Vale Formoso    640    1 149', 'Veterinário');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (42245132, 'Salomï¿½', 'Quintela', 'Castelo Branco    Sertã    Palhais    346    2 204', 'Esteticista');
INSERT INTO Pessoas (ID, Nome, Apelido, Localidade, Profissao) VALUES (32961231, 'Silvestre', 'Picanço', 'Viana do castelo    Caminha    Vila Praia de Âncora    4 688     815', 'Contabilista');
